macro,micro,definition,inclusion_criteria
Tawḥīd,Divine ontology declaration (incl. Asmā'ul-Ḥusnā catalogue),"Direct propositional statements asserting God's existence unity or absolute nature, including verses that catalogue 3+ divine names in sequence.","Bare declarative claim about God's being/unity with no polemical target; OR contains 3+ names in immediate sequence / the phrase al-asma al-husna itself."
Tawḥīd,Anti-shirk polemic,"Verses that explicitly argue against refute or warn against associating partners with God.","Contains explicit refutation language or direct address to polytheists about associating partners."
Tawḥīd,Divine transcendence statement,"Verses emphasizing God's incomparability unlikeness to creation or being beyond human conception (tanzih).","Uses negation-of-likeness language or emphasizes unseen/incomprehensible nature."
Prophethood,Prophetic mission commissioning,"Verses where a prophet is being sent given a task or instructed in their role.","Verb of sending/commanding directed at a prophet; establishes a mandate."
Prophethood,Prophetic consolation,"Verses addressed to a prophet offering comfort reassurance or emotional support amid hardship.","Second-person address to the Prophet acknowledging distress followed by reassurance."
Prophethood,Inter-prophet narrative,"Verses depicting interaction continuity or comparison between two or more named prophets.","Two or more prophets named in the same narrative unit."
Prophethood,Rejection narrative,"Verses describing a prophet's message being rejected mocked or opposed by their people.","Contains explicit rejection verbs (kadhdhaba istahza'a) directed at a prophet's message."
Worship,Du'a / supplication context,"Verses that are themselves a prayer or that record/instruct a specific supplication.","First-person plea to God or third-person report of a supplication being made."
Worship,Ritual instruction,"Verses giving procedural instruction for an act of worship.","Imperative verb governing a named ritual act with procedural/technical content."
Worship,Devotional exhortation,"Verses urging general piety remembrance gratitude or devotion without specifying ritual procedure.","Imperative or encouraging language toward dhikr/shukr/taqwa in general terms."
Narrative,Historical/prophetic narrative (incl. community history),"Extended narrative episodes about a prophet's life OR a past nation's collective fate, non-parable.","Sequential story content about a prophet's actions OR a people's/city's/nation's collective history."
Narrative,Parable,"Verses explicitly structured as a mathal (comparison/parable).","Contains the structural marker mathal or a clearly self-contained illustrative analogy."
Creation,Non-human creation (cosmological + natural phenomena),"Verses about the origin structure or maintenance of the heavens earth and universe OR specific natural processes as signs.","Subject is heavens/earth/celestial bodies/cosmic order OR a specific natural process (rain wind mountains)."
Creation,Human creation,"Verses specifically about the creation formation or biological origin of human beings.","Subject is humanity's own creation process (clay nutfa/embryology Adam narrative)."
Eschatology,Judgement & Resurrection (combined),"Verses describing the event/process of the Last Judgement AND the mechanics of being raised from death.","Explicit reference to qiyama hisab mizan OR the raising/resurrection act itself."
Eschatology,Paradise,"Verses describing the rewards nature or inhabitants of Jannah.","Positive afterlife description for the righteous."
Eschatology,Hellfire,"Verses describing the punishment nature or inhabitants of Jahannam.","Negative afterlife description for wrongdoers."
Law/Community,Legislation (incl. family law),"Verses establishing specific legal rulings including marriage divorce custody inheritance penalties.","Contains a specific ruling with legal-technical content (shares conditions penalties)."
Law/Community,Community ethics,"Verses on interpersonal conduct and social relations not codified as strict legal ruling.","Behavioral guidance without specific legal-technical penalty/share content."
Law/Community,War/treaty rulings,"Verses specifically addressing military conduct treaties or relations with hostile/allied parties.","Subject matter is combat conduct treaty terms or war-adjacent community relations."
